Company Name,Headquarter City,Headquarter Country,Founding Year,Website URL,Public / Private Status,Established / Startup Status,ADC Specialty,Acquisition Status,Total # drugs,# Preclinical drugs,# Phase 1 drugs,# Phase 2 drugs,# Phase 3 drugs,# Approved drugs,# Undisclosed drugs,Total # trials,# Phase 1 trials,# Phase 2 trials,# Phase 3 trials,# Co-developers,Co-developers,# Countries
IMMUNOGEN,Waltham,United States,1980,https://www.immunogen.com,Public,Established,ADC Platform Technology,-,22,1,6,10,2,1,2,25,8,13,4,13,Boehringer Ingelheim | Novartis | MacroGenics | CytomX | GlaxoSmithKline | Sanofi | GOG Foundation | BioTest | Debiopharm | Clovis Oncology | Merck Sharp & Dohme | MorphoSys AG | Bayer,46
Seagen,Bothell,United States,1998,https://www.seagen.com,Acquired,Established,ADC Platform Technology,Acquired by Pfizer in 2023,22,1,10,4,3,4,0,93,21,58,12,21,Millennium | Alliance Foundation Trials | GlaxoSmithKline | Ligand Pharmaceuticals | Teva | Kyowa Kirin | Roche | Merck Sharp & Dohme | Pfizer | GILEAD | Celgene | PPD | Takeda | GOG Foundation | Agensys | Genentech | Immune Tolerance Network (ITN) | Genmab | Bristol Myers Squibb | RemeGen | Astellas,61
AbbVie,North Chicago,United States,2013,https://www.abbvie.com,Public,Established,Antibody developer,-,20,0,7,8,3,0,2,23,9,8,6,8,Genmab | Stemcentrx | CytomX | Roche | Genentech | EuPAL | Pfizer | Radiation Therapy Oncology Group,47
Genentech,South San Francisco,United States,1976,https://www.gene.com,Acquired,Established,Antibody developer,Acquired by Roche in 2009,16,1,8,4,0,2,1,32,7,23,2,8,AbbVie | Alliance Foundation Trials | Istari Oncology | Roche | Eli Lilly | Seagen | EuPAL | Pfizer,73
Pfizer,New York City,United States,1849,https://www.pfizer.com,Public,Established,Antibody developer,-,14,1,4,3,1,2,3,51,13,27,6,25,AbbVie | Novartis | Alliance Foundation Trials | GlaxoSmithKline | Nona Bioscience | Eli Lilly | Rinat | Amgen | Roche | Array BioPharma | Seagen | Merck Sharp & Dohme | NordForsk | Stemcentrx | GILEAD | Celgene | UCB Pharma | Genentech | WYETH | Servier | Oxford BioMedica | Angiex | Nova Laboratories Limited | Strata Oncology | Celltech,39
Roche,Basel,Switzerland,1896,https://www.roche.com,Public,Established,Antibody developer,-,14,0,6,5,0,2,1,56,5,32,18,15,AbbVie | EuPAL | Bolt | NSABP Foundation | Chugai | GlaxoSmithKline | GOG Foundation | Pierre Fabre | Genentech | Seagen | MedSIR | Astellas | Pfizer | GWT-TUD GmbH | GILEAD,73
AstraZeneca,Cambridge,United Kingdom,1999,https://www.astrazeneca.com,Public,Established,Antibody developer,-,12,0,6,3,1,1,1,76,11,34,29,17,ADC Therapeutics | Innate | Fusion Pharmaceuticals Inc | Eisai | DAIICHI SANKYO | NSABP Foundation | KYM Biosciences | MedImmune | NeoTX Therapeutics Ltd | Keymed Biosciences | Lepu Biopharma | Open Innovation Partners | Tanabe Research Laboratories USA | Natera | Merck Sharp & Dohme | GILEAD | Paxman Coolers Limited,72
ADC Therapeutics,Lausanne,Switzerland,2011,https://adctherapeutics.com,Public,Startup,ADC Platform Technology,-,10,3,3,3,0,1,0,4,1,2,1,4,Genmab | Regeneron | MedImmune | AstraZeneca,7
"GeneQuantum (Suzhou, China)",Suzhou,China,2013,https://www.genequantum.com,Private,Startup,ADC Platform Technology,-,10,4,1,2,0,0,3,4,2,2,0,1,Pyramid Biosciences,3
DAIICHI SANKYO,Tokyo,Japan,2005,https://www.daiichisankyo.com,Public,Established,Both,-,8,0,2,1,4,1,0,72,12,33,26,10,Translational Research in Oncology | AstraZeneca | Amgen | Eisai | NSABP Foundation | UNICANCER | Merck Sharp & Dohme | MedSIR | GILEAD | Paxman Coolers Limited,68
Takeda,Osaka,Japan,1781,https://www.takeda.com,Public,Established,Antibody developer,-,8,0,2,4,0,1,1,12,0,7,3,5,Millennium | Mersana | BeiGene | Legochem | Seagen,38
Ambrx,La Jolla,United States,2003,https://www.ambrx.com,Private,Startup,ADC Platform Technology,-,7,4,0,3,0,0,0,4,2,2,0,2,Progenics Pharmaceuticals | Johnson & Johnson,5
Astellas,Tokyo,Japan,2005,https://www.astellas.com,Public,Established,Antibody developer,-,7,2,4,0,0,1,0,11,6,4,1,7,Roche | Agensys | Seagen | Merck Sharp & Dohme | Ganymed | GILEAD | Ligand Pharmaceuticals,22
Immunomedics,Morris Plains,United States,1982,https://www.gilead.com/,Acquired,Established,ADC Platform Technology,Acquired by Gilead Sciences in 2020,7,0,0,1,3,1,2,0,0,0,0,1,GILEAD,59
Legochem,Daejeon,South Korea,2002,https://www.legochembio.com,Public,Established,ADC Platform Technology,-,7,0,0,1,1,0,5,1,0,1,0,7,AntibodyChem Biosciences | Seasun Biomaterials | Y-Biologics | Takeda | Samsung Medical Center | Nordic Nanovector | Shanghai Fosun,72
Sutro Biopharma,South San Francisco,United States,2003,https://www.sutrobio.com,Public,Startup,ADC Platform Technology,-,7,0,2,1,2,0,2,5,3,1,1,4,"Tasly Pharmaceutical Group Co., Ltd | Celgene | Bristol Myers Squibb | GOG Foundation",10
Bayer,Leverkusen,Germany,1863,https://www.bayer.com,Public,Established,Antibody developer,-,6,0,4,1,1,0,0,12,10,2,0,2,IMMUNOGEN | MorphoSys AG,73
Bristol Myers Squibb,New York City,United States,1887,https://www.bms.com,Public,Established,Antibody developer,-,6,0,1,4,1,0,0,13,2,11,0,8,Celgene | Eisai | CytomX | Sutro Biopharma | Seagen | Bolt | GILEAD | Medarex,54
Novartis,Basel,Switzerland,1996,https://www.novartis.com,Public,Established,Antibody developer,-,6,0,4,0,1,1,0,8,4,2,2,7,Celgene | Endocyte | IMMUNOGEN | GlaxoSmithKline | GILEAD | Pfizer | Nordic Nanovector,11
