Sponsor Name,Other Names,Count of Trials,Location,Overview
"Samsung Bioepis Co., Ltd.","Samsung Bioepis Co Ltd | Samsung Bioepis Co., Ltd | Samsung Bioepis Co., Ltd.",31,"Incheon, South Korea",Samsung Bioepis is a biopharmaceutical company focused on developing high-quality biosimilar medicines to improve patient access. The company has a portfolio of approved biosimilars and is actively engaged in research and development of new biosimilar products.
mAbxience,"mAbxience (Switzerland) | mAbxience Research S.L. | MABXIENCE RESEARCH S.L., | mAbxience Research SL | mAbxience S.A | mAbxience S.A., | MABXIENCE SA",20,"Buenos Aires, Argentina","mAbxience is a biopharmaceutical company specializing in the development, manufacturing, and commercialization of biosimilar monoclonal antibodies. The company has a strong focus on oncology and autoimmune disease treatments."
Amgen,Amgen Inc | Amgen Inc.,12,"Thousand Oaks, California, USA","Amgen is a leading global biopharmaceutical company that discovers, develops, manufactures, and delivers innovative human therapeutics. The company has a diverse portfolio of medicines in oncology, cardiovascular disease, inflammation, bone health, and neuroscience."
Sandoz,Sandoz Inc.,12,"Holzkirchen, Germany","Sandoz is a division of Novartis and a global leader in generic and biosimilar medicines. The company is focused on expanding access to high-quality, affordable medicines through the development and commercialization of generic and biosimilar products."
Shanghai Henlius Biotech,"Shanghai Henlius Biotech, Inc. | Shanghai Henlius Biotech. Inc.",12,"Shanghai, China","Shanghai Henlius Biotech is a biopharmaceutical company dedicated to the research, development, and commercialization of high-quality biologic medicines, including biosimilars and innovative biologics. The company has a growing pipeline of products targeting various therapeutic areas."
AryoGen Pharmed,Aryogen pharmed | Aryogen Pharmed | AryoGen Pharmed Co. | Aryogen pharmed Company,10,"Tehran, Iran",AryoGen Pharmed is an Iranian biopharmaceutical company that specializes in the development and production of biosimilar and innovative biological medicines. The company focuses on providing affordable access to high-quality biologics in the Middle East and North Africa region.
Bioeq GmbH,bioeq GmbH,7,"Holzkirchen, Germany","Bioeq GmbH is a joint venture between Polpharma Biologics and Formycon AG, focused on the development, manufacturing, and commercialization of biosimilar products. The company leverages its expertise in biosimilar development to bring affordable biological medicines to patients worldwide."
Dr Reddys Laboratories SA,Dr. Reddy's Laboratories Limited | Dr. Reddy’s Laboratories S.A. | Dr. Reddys Laboratories Ltd.,7,"Hyderabad, India","Dr Reddys Laboratories is a global pharmaceutical company that develops and manufactures a wide range of branded and generic medications, including biosimilars. The company is committed to providing access to high-quality, affordable healthcare solutions globally."
Enzene Biosciences Limited,Enzene Biosciences Ltd.,7,"Pune, India",Enzene Biosciences is an Indian biopharmaceutical company that specializes in the development and manufacturing of biosimilar and innovative biological products. The company leverages its expertise in process development and analytical capabilities to bring affordable biologics to patients.
Novartis Biosciences Peru S.A.,"Novartis Farmacéutica, S.A. | Novartis Healthcare Private Limited | Novartis Pharma AG | Novartis Pharma K.K. | Novartis Pharmaceuticals",7,"Lima, Peru","Novartis Biosciences Peru S.A. is a subsidiary of Novartis, a leading global pharmaceutical company. The company is focused on the development and commercialization of innovative and biosimilar medicines to address the healthcare needs of patients in Peru and the surrounding region."
Pfizer,,7,"New York City, New York, USA","Pfizer is a global biopharmaceutical company that develops and manufactures a wide range of innovative and generic medicines, including biologics and biosimilars. The company is committed to advancing science and improving patient access to high-quality, affordable healthcare solutions."
"Qilu Pharmaceutical Co., Ltd.",,7,"Jinan, China","Qilu Pharmaceutical is a leading Chinese biopharmaceutical company that specializes in the research, development, and production of small molecule drugs, biologics, and biosimilars. The company is focused on bringing innovative and affordable medicines to patients in China and globally."
Biocon Limited,Biocon Biologics UK Ltd | Biosimilar collaborations Ireland Limited | Biocon Biologics UK Limited,6,"Bengaluru, India","Biocon is a leading Indian biopharmaceutical company that develops and manufactures a range of biosimilar and innovative biological products. The company is dedicated to enhancing global access to high-quality, affordable healthcare solutions."
Fresenius Kabi,"Fresenius Kabi SwissBioSim GmbH | Fresenius Kabi, France",6,"Bad Homburg, Germany","Fresenius Kabi is a global healthcare company that specializes in the development, manufacturing, and distribution of generic and biosimilar medicines, infusion therapies, and clinical nutrition products. The company is committed to improving the lives of patients worldwide."
Hexal AG,HEXAL AG (a Sandoz company),6,"Holzkirchen, Germany","Hexal AG is a German pharmaceutical company and a subsidiary of Novartis. The company is focused on the development, manufacturing, and commercialization of generic and biosimilar medicines, helping to increase patient access to affordable healthcare solutions."
Alvotech Swiss AG,,5,"Reykjavík, Iceland",Alvotech Swiss AG is a biopharmaceutical company dedicated to the development and manufacturing of high-quality biosimilar medicines. The company leverages its expertise in biologics to bring affordable and accessible treatments to patients globally.
AO GENERIUM,,5,"Moscow, Russia","AO GENERIUM is a Russian biopharmaceutical company that specializes in the development, production, and commercialization of generic and biosimilar medicines. The company aims to provide affordable access to high-quality healthcare solutions in Russia and the surrounding regions."
CELLTRION Inc.,"CELLTRION, Inc | CELLTRION, Inc. | CELLTRION, INC., | Celltrion HealthCare France",5,"Incheon, South Korea","CELLTRION is a leading South Korean biopharmaceutical company that focuses on the development and manufacturing of biosimilar and innovative biological products. The company is committed to improving patient access to affordable, high-quality biologics."
Intas Pharmaceutical Limited Biopharma Division,"Intas Pharmaceuticals Limited | Intas Pharmaceuticals Ltd | Intas Pharmaceuticals Ltd Biopharma Division | Intas Pharmaceuticals, Ltd.",5,"Ahmedabad, India","Intas Pharmaceutical Limited's Biopharma Division is a leading Indian biopharmaceutical company that specializes in the development, manufacturing, and commercialization of biosimilar and innovative biological medicines. The company is dedicated to providing affordable access to high-quality biologics."
Hospira UK Ltd,"Hospira, Inc. | Hospira, now a wholly owned subsidiary of Pfizer",4,"Hurley, United Kingdom","Hospira UK Ltd is a subsidiary of Pfizer and a leading provider of injectable medicines, infusion technologies, and biosimilars. The company is focused on delivering high-quality, cost-effective healthcare solutions to patients in the United Kingdom and Europe."
"Momenta Pharmaceuticals, Inc.",,4,"Cambridge, Massachusetts, USA","Momenta Pharmaceuticals is a biotechnology company that specializes in the development of generic and biosimilar medicines, as well as innovative biologics. The company leverages its expertise in complex molecules to bring affordable and accessible treatments to patients."
Polpharma Biologics S.A.,,4,"Gdańsk, Poland","Polpharma Biologics is a Polish biopharmaceutical company that focuses on the development, manufacturing, and commercialization of biosimilar and innovative biological products. The company is committed to expanding patient access to high-quality, affordable biologics."
Cipla BioTec Pvt Ltd,Cipla BioTec Pvt. Ltd. | Cipla Ltd,3,"Mumbai, India","Cipla BioTec is a subsidiary of Cipla Limited, a leading Indian pharmaceutical company. Cipla BioTec is dedicated to the development and manufacturing of biosimilar and innovative biological medicines, with the goal of improving healthcare access and affordability."
Eli Lilly and Company,Eli Lilly and Company India Pvt Ltd,3,"Indianapolis, Indiana, USA","Eli Lilly and Company is a global pharmaceutical company that discovers, develops, and manufactures innovative medicines, including biologics and biosimilars. The company is committed to advancing scientific research and providing high-quality healthcare solutions to patients worldwide."
Gan & Lee Pharmaceuticals USA Corporation,"Gan and Lee Pharmaceuticals, USA",3,"Bridgewater, New Jersey, USA","Gan & Lee Pharmaceuticals USA Corporation is a subsidiary of Gan & Lee Pharmaceuticals, a leading Chinese biopharmaceutical company. The US-based corporation is focused on the development and commercialization of biosimilar and innovative biological products in the American market."
Gedeon Richter Ibérica,Gedeon Richter Plc.,3,Spain,"Gedeon Richter Ibérica SA is a subsidiary of the Hungarian pharmaceutical company Gedeon Richter Plc. It provides women's healthcare services, offering products in areas such as gynecology, osteoporosis, and fertility."
Mabion S.A.,Mabion SA,3,Poland,Mabion S.A. is a biopharmaceutical company focused on the development and manufacture of biosimilar monoclonal antibodies. The company's pipeline includes biosimilar candidates for oncology and autoimmune diseases.
Altos Biologics Inc.,,2,United States,"Altos Biologics Inc. is a biopharmaceutical company specializing in the development of novel biologics and biosimilars. The company's focus areas include oncology, immunology, and metabolic disorders."
Bio-Thera Solutions,"Bio-Thera Solutions, Ltd.",2,China,"Bio-Thera Solutions is a Chinese biopharmaceutical company that develops and manufactures biosimilar and innovative biological products. The company's pipeline includes biosimilar candidates for cancer, autoimmune, and ophthalmic diseases."
Cinfa Biotech,,2,Spain,"Cinfa Biotech is a Spanish biopharmaceutical company that develops and commercializes biosimilar products. The company's focus is on oncology, immunology, and endocrinology."
CinnaGen Pharmaceutical Company,CinnaGen Research and Production Company,2,Iran,"CinnaGen Pharmaceutical Company is an Iranian biopharmaceutical company that specializes in the development and production of biosimilar and innovative biological products. The company's portfolio includes biosimilars for cancer, autoimmune, and metabolic disorders."
"Eden Biologics, Inc., Taiwan",,2,Taiwan,"Eden Biologics, Inc. is a Taiwanese biopharmaceutical company that focuses on the development and manufacture of biosimilar and innovative biological products. The company's pipeline includes biosimilar candidates for oncology and immunology."
IVI Madrid,,2,Spain,"IVI Madrid is a Spanish biopharmaceutical company that specializes in the development and commercialization of reproductive health products, including fertility treatments and women's health solutions."
"Janssen Research & Development, LLC","Janssen Scientific Affairs, LLC",2,United States,"Janssen Research & Development, LLC is a subsidiary of Johnson & Johnson that focuses on the development of innovative pharmaceutical and biotechnology products. The company's pipeline includes biologics for immunology, oncology, and neuroscience."
Levim Biotech,Levim Biotech LLP,2,India,"Levim Biotech is an Indian biopharmaceutical company that develops and manufactures biosimilar and innovative biological products. The company's focus areas include oncology, immunology, and metabolic disorders."
Libbs Farmacêutica LTDA,,2,Brazil,"Libbs Farmacêutica LTDA is a Brazilian pharmaceutical company that develops and produces a range of pharmaceutical products, including biosimilars and innovative biologics. The company's portfolio covers various therapeutic areas such as oncology, immunology, and women's health."
Lupin Limited (Biotechnology Division),Lupin Ltd.,2,India,"Lupin Limited is an Indian pharmaceutical company with a dedicated biotechnology division that focuses on the development and manufacture of biosimilar and innovative biological products. The company's pipeline includes candidates for oncology, immunology, and metabolic disorders."
Merck,Merck Sharp & Dohme LLC,2,Germany,"Merck is a leading German pharmaceutical and life science company that develops and produces a diverse range of pharmaceutical, chemical, and life science products, including biosimilars and innovative biologics."
Mundipharma,Mundipharma Pharmaceuticals B.V.,2,Singapore,"Mundipharma is a Singapore-based pharmaceutical company that develops and commercializes a range of pharmaceutical products, including biosimilars and innovative biologics, across various therapeutic areas such as oncology, pain management, and respiratory diseases."
NeuClone Proprietary Limited,NeuClone Pty Ltd,2,Australia,"NeuClone Proprietary Limited is an Australian biopharmaceutical company that specializes in the development of biosimilar and innovative biological products. The company's pipeline includes candidates for oncology, immunology, and infectious diseases."
Pfenex Inc.,"Pfenex, Inc",2,United States,"Pfenex Inc. is a U.S.-based biopharmaceutical company that develops and manufactures biosimilar and innovative biological products. The company's focus areas include oncology, infectious diseases, and metabolic disorders."
Prestige BioPharma Limited,,2,Singapore,"Prestige BioPharma Limited is a Singaporean biopharmaceutical company that develops and commercializes biosimilar and innovative biological products. The company's pipeline includes candidates for oncology, immunology, and metabolic disorders."
"Shandong Boan Biotechnology Co., Ltd.",,2,China,"Shandong Boan Biotechnology Co., Ltd. is a Chinese biopharmaceutical company that specializes in the development and manufacture of biosimilar and innovative biological products. The company's focus areas include oncology, immunology, and metabolic disorders."
"Shenyang Sunshine Pharmaceutical Co., LTD.",,2,China,"Shenyang Sunshine Pharmaceutical Co., LTD. is a Chinese biopharmaceutical company that develops and produces biosimilar and innovative biological products. The company's pipeline includes candidates for oncology, immunology, and metabolic disorders."
Syneos Health,Syneos Health New Zealand Limited,2,United States,"Syneos Health is a U.S.-based contract research organization (CRO) that provides a range of services to the biopharmaceutical industry, including the development and commercialization of biosimilar and innovative biological products."
