,id,phases,sponsor,collaborators,interventions,locations,enrollment,conditions,Start Date,Max Phase
0,NCT05174637,Phase 1,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd.",,"Drug: FDA018-ADC,FDA018-ADC,FDA018-Antibody-drug Conjugate",China,78,Advanced/ Metastatic Solid Tumors,2021-10-22,1
1,NCT03489525,Phase 1,MedImmune LLC,,"Dose Escalation, MEDI2228, ADC (antibody drug conjugate),Dose Expansion, MEDI2228, ADC (antibody drug conjugate),Biological: Dose Expansion, MEDI2228, ADC (antibody drug conjugate),Biological: Dose Escalation, MEDI2228, ADC (antibody drug conjugate)","Spain,Greece,Australia,United States,France",107,Relapsed/Refractory Multiple Myeloma,2018-03-17,1
2,NCT04829604,Phase 2,"Ambrx, Inc.",,"antibody drug conjugate (ADC),ARX788","Australia,United States,Korea, Republic of,France",71,HER2 Positive Metastatic Breast Cancer,2021-10-26,2
3,NCT05156866,Phase 1,"TORL Biotherapeutics, LLC",Translational Research in Oncology,"TORL-2-307-ADC,Drug: TORL-2-307-ADC","Korea, Republic of,United States",70,"Gastric Cancer,Advanced Solid Tumor,Pancreas Cancer,Gastroesophageal Junction Adenocarcinoma",2021-01-12,1
4,NCT01414283,Phase 1,"Progenics Pharmaceuticals, Inc.",,"PSMA ADC,Drug: PSMA ADC",United States,52,Prostate Cancer,2008-10-01,1
5,NCT01414296,Phase 1,"Progenics Pharmaceuticals, Inc.",,"PSMA ADC,Drug: PSMA ADC",United States,10,Prostate Cancer,2009-01-01,1
6,NCT01695044,Phase 2,"Progenics Pharmaceuticals, Inc.",,"PSMA ADC,Drug: PSMA ADC",United States,119,Prostate Cancer,2012-09-01,2
7,NCT04681131,Phase 2,"BioAtla, Inc.",,"CAB-AXL-ADC,Biological: CAB-AXL-ADC,PD-1 inhibitor,Biological: PD-1 inhibitor,BA3011","Germany,Poland,Italy,Spain,Hong Kong,Greece,Taiwan,United States",240,Non-Small-Cell Lung Cancer,2020-08-12,2
8,NCT04329429,Phase 2,"RemeGen Co., Ltd.",,"Recombinant Humanized anti-HER2 Monoclonal Antibody-MMAE Conjugate For Injection,RC48-ADC,Drug: RC48-ADC",China,57,Biliary Tract Cancer,2020-03-27,2
9,NCT04073602,Phase 2,"RemeGen Co., Ltd.",,"Recombinant Humanized anti-HER2 Monoclonal Antibody-MMAE Conjugate For Injection,RC48-ADC,Drug: RC48-ADC",China,19,Urothelial Carcinoma,2019-08-19,2
10,NCT04132960,Phase 2,UNICANCER,"Daiichi Sankyo Europe, GmbH, a Daiichi Sankyo Company",DS-8201a,France,186,Breast Tumors,2019-10-21,2
11,NCT02988817,"Phase 2,Phase 1",Genmab,,"Biological: Enapotamab vedotin (HuMax-AXL-ADC),Enapotamab vedotin (HuMax-AXL-ADC)","Belgium,Spain,Netherlands,United Kingdom,United States,Denmark",306,"Thyroid Cancer,Melanoma,Ovarian Cancer,Non Small Cell Lung Cancer (NSCLC),Sarcoma,Cervical Cancer,Solid Tumors,Endometrial Cancer",2016-01-12,2
12,NCT03504488,"Phase 2,Phase 1","BioAtla, Inc.",,"PD-1 inhibitor,Biological: PD-1 inhibitor,BA3021,CAB-ROR2-ADC,Biological: CAB-ROR2-ADC","Germany,Poland,Italy,Spain,Hong Kong,Greece,Taiwan,United States",420,"Non Small Cell Lung Cancer,Head and Neck Cancer,Triple Negative Breast Cancer,Melanoma",2018-06-27,2
13,NCT05205850,"Phase 2,Phase 1","RemeGen Co., Ltd.",,"Drug: RC118-ADC,RC118-ADC,RC118 for injection",China,135,Advanced Solid Tumor,2021-11-17,2
14,NCT06014658,Phase 1,MBrace Therapeutics,,"Drug: Antibody-Drug Conjugate,Antibody-Drug Conjugate",United States,90,Cancer,2023-01-08,1
15,NCT02020135,Phase 2,"Progenics Pharmaceuticals, Inc.",,"PSMA ADC,Drug: PSMA ADC",United States,9,Prostate Cancer,2013-10-01,2
16,NCT04695847,Phase 1,"EMD Serono Research & Development Institute, Inc.","Merck KGaA, Darmstadt, Germany","Bispecific antibody drug conjugate (ADC),M1231","Canada,United States",23,"Metastatic Solid Tumors,Non-Small Cell Lung Cancer,Esophageal Cancer",2021-01-13,1
17,NCT03255070,Phase 1,"Ambrx, Inc.",,"antibody drug conjugate (ADC),ARX788","Australia,United States",106,"Solid Tumors,Breast Neoplasms,Gastric Neoplasm",2018-03-20,1
18,NCT04240704,Phase 1,Novartis Pharmaceuticals,,JBH492,"Germany,Israel,Korea, Republic of,Spain,Singapore,Finland,Japan",25,"Non-Hodgkins Lymphoma,Chronic Lymphocytic Leukemia",2020-09-07,1
19,NCT03425279,"Phase 2,Phase 1","BioAtla, Inc.",,"CAB-AXL-ADC,PD-1 inhibitor,Biological: PD-1 inhibitor,Biological: CAB-AXL-ADC","Hong Kong,United States,Taiwan",300,"Myxofibrosarcoma,Undifferentiated Pleomorphic Sarcoma",2018-01-22,2
